Owner,Round,Player,Keeper Status
Gabe,1,Bijan Robinson,Ineligible - first rounder already kept
Gabe,2,Josh Allen,Eligible to be kept
Gabe,3,Deebo Samuel,Eligible to be kept
Gabe,4,Aaron Jones,Eligible to be kept
Gabe,5,George Pickens,Eligible to be kept
Gabe,6,Chris Godwin,Ineligible - off roster
Gabe,7,Zack Moss,Ineligible - off roster
Gabe,8,Sam LaPorta,Eligible - non first rounder only kept once
Gabe,9,Christian Watson,Ineligible - off roster
Gabe,10,Chase Brown,Eligible to be kept
Gabe,11,Tyler Lockett,Ineligible - off roster
Gabe,12,Ja'Lynn Polk,Ineligible - off roster
Gabe,13,Baltimore Ravens,Ineligible - off roster
Gabe,14,Isaiah Likely,Eligible to be kept
Gabe,15,Justin Fields,Ineligible - off roster
Gabe,16,Cairo Santos,Ineligible - off roster
Gabe,TBD,Chase McLaughlin,Free Agent
Gabe,TBD,Minnesota Vikings,Free Agent
Gabe,TBD,Anthony Richardson,Free Agent
Gabe,TBD,Christian McCaffrey,Free Agent
Gabe,TBD,Philadelphia Eagles,Free Agent
Gabe,TBD,Tua Tagovailoa,Free Agent
Gabe,TBD,Quentin Johnston,Free Agent
Gabe,TBD,Pittsburgh Steelers,Free Agent
Nate,1,CeeDee Lamb,Eligible to be kept
Nate,2,Jaylen Waddle,Ineligible - off roster
Nate,3,Davante Adams,Eligible to be kept
Nate,4,Tee Higgins,Eligible to be kept
Nate,5,James Conner,Eligible to be kept
Nate,6,Calvin Ridley,Eligible to be kept
Nate,7,Keon Coleman,Eligible to be kept
Nate,8,Jordan Love,Eligible to be kept
Nate,9,T.J. Hockenson,Eligible to be kept
Nate,10,De'Von Achane,Eligible - non first rounder only kept once
Nate,11,Khalil Shakir,Eligible to be kept
Nate,12,Chuba Hubbard,Eligible to be kept
Nate,13,Rachaad White,Ineligible - non first rounder already kept twice
Nate,14,Bucky Irving,Eligible to be kept
Nate,15,Jake Moody,Ineligible - off roster
Nate,16,Ben Sinnott,Ineligible - off roster
Nate,TBD,Chris Boswell,Free Agent
Nate,TBD,Kenny Pickett,Free Agent
Nate,TBD,Drew Lock,Free Agent
Nate,TBD,Seattle Seahawks,Free Agent
Trevor,1,Justin Jefferson,Eligible to be kept
Trevor,2,Jahmyr Gibbs,Eligible - non first rounder only kept once
Trevor,3,Stefon Diggs,Ineligible - off roster
Trevor,4,Alvin Kamara,Eligible to be kept
Trevor,5,Rome Odunze,Eligible to be kept
Trevor,6,Ladd McConkey,Eligible to be kept
Trevor,7,Jayden Daniels,Eligible to be kept
Trevor,8,Dalton Kincaid,Eligible - non first rounder only kept once
Trevor,9,Brian Thomas,Eligible to be kept
Trevor,10,Jerome Ford,Ineligible - off roster
